date_key,period_start_year,period_end_year,is_single_year
2003/2004,2003,2004,False
2006,2006,2006,True
2009,2009,2009,True
2010,2010,2010,True
2012,2012,2012,True
2014/2015,2014,2015,False
2019/2020,2019,2020,False
2020,2020,2020,True
2021,2021,2021,True
2022,2022,2022,True
2023,2023,2023,True
2024,2024,2024,True
2025,2025,2025,True
