reference_date,year,state_code,sex_code,age_group,census_basis,population_persons
2021-12-31,2021,06,M,65-74,Census 2011 basis,314996
2021-12-31,2021,06,M,75-84,Census 2011 basis,210020
2021-12-31,2021,06,M,85-89,Census 2011 basis,48228
2021-12-31,2021,06,M,90+,Census 2011 basis,18668
2021-12-31,2021,07,F,0-17,Census 2011 basis,328711
2021-12-31,2021,07,F,18-29,Census 2011 basis,257901
2021-12-31,2021,07,F,30-44,Census 2011 basis,370519
2021-12-31,2021,07,F,45-64,Census 2011 basis,608575
2021-12-31,2021,07,F,65-74,Census 2011 basis,247894
2021-12-31,2021,07,F,75-84,Census 2011 basis,176940
2021-12-31,2021,07,F,85-89,Census 2011 basis,54373
2021-12-31,2021,07,F,90+,Census 2011 basis,31249
2021-12-31,2021,07,M,0-17,Census 2011 basis,348871
2021-12-31,2021,07,M,18-29,Census 2011 basis,281406
2021-12-31,2021,07,M,30-44,Census 2011 basis,384112
2021-12-31,2021,07,M,45-64,Census 2011 basis,601404
2021-12-31,2021,07,M,65-74,Census 2011 basis,229611
2021-12-31,2021,07,M,75-84,Census 2011 basis,138443
2021-12-31,2021,07,M,85-89,Census 2011 basis,33737
2021-12-31,2021,07,M,90+,Census 2011 basis,12739
2021-12-31,2021,08,F,0-17,Census 2011 basis,926130
2021-12-31,2021,08,F,18-29,Census 2011 basis,748182
2021-12-31,2021,08,F,30-44,Census 2011 basis,1054223
2021-12-31,2021,08,F,45-64,Census 2011 basis,1580813
2021-12-31,2021,08,F,65-74,Census 2011 basis,604094
2021-12-31,2021,08,F,75-84,Census 2011 basis,468908
2021-12-31,2021,08,F,85-89,Census 2011 basis,139832
2021-12-31,2021,08,F,90+,Census 2011 basis,76350
2021-12-31,2021,08,M,0-17,Census 2011 basis,976145
2021-12-31,2021,08,M,18-29,Census 2011 basis,826373
2021-12-31,2021,08,M,30-44,Census 2011 basis,1108038
2021-12-31,2021,08,M,45-64,Census 2011 basis,1586781
2021-12-31,2021,08,M,65-74,Census 2011 basis,542463
2021-12-31,2021,08,M,75-84,Census 2011 basis,364622
2021-12-31,2021,08,M,85-89,Census 2011 basis,88683
2021-12-31,2021,08,M,90+,Census 2011 basis,33005
2021-12-31,2021,09,F,0-17,Census 2011 basis,1071087
2021-12-31,2021,09,F,18-29,Census 2011 basis,872487
2021-12-31,2021,09,F,30-44,Census 2011 basis,1271294
2021-12-31,2021,09,F,45-64,Census 2011 basis,1899031
2021-12-31,2021,09,F,65-74,Census 2011 basis,721925
2021-12-31,2021,09,F,75-84,Census 2011 basis,562770
2021-12-31,2021,09,F,85-89,Census 2011 basis,160112
2021-12-31,2021,09,F,90+,Census 2011 basis,86061
2021-12-31,2021,09,M,0-17,Census 2011 basis,1128486
2021-12-31,2021,09,M,18-29,Census 2011 basis,954032
2021-12-31,2021,09,M,30-44,Census 2011 basis,1325540
2021-12-31,2021,09,M,45-64,Census 2011 basis,1900337
2021-12-31,2021,09,M,65-74,Census 2011 basis,651017
2021-12-31,2021,09,M,75-84,Census 2011 basis,439890
2021-12-31,2021,09,M,85-89,Census 2011 basis,96917
2021-12-31,2021,09,M,90+,Census 2011 basis,36003
2021-12-31,2021,10,F,0-17,Census 2011 basis,71542
2021-12-31,2021,10,F,18-29,Census 2011 basis,58888
2021-12-31,2021,10,F,30-44,Census 2011 basis,85294
2021-12-31,2021,10,F,45-64,Census 2011 basis,148321
2021-12-31,2021,10,F,65-74,Census 2011 basis,65841
2021-12-31,2021,10,F,75-84,Census 2011 basis,46775
2021-12-31,2021,10,F,85-89,Census 2011 basis,15166
2021-12-31,2021,10,F,90+,Census 2011 basis,8082
2021-12-31,2021,10,M,0-17,Census 2011 basis,76126
2021-12-31,2021,10,M,18-29,Census 2011 basis,64847
2021-12-31,2021,10,M,30-44,Census 2011 basis,89405
2021-12-31,2021,10,M,45-64,Census 2011 basis,145096
2021-12-31,2021,10,M,65-74,Census 2011 basis,60575
2021-12-31,2021,10,M,75-84,Census 2011 basis,34500
