atc_code,active_ingredient,atc_group,included_in_mvp,inclusion_status
A10BJ01,Exenatide,A10BJ,True,observed_in_2024_group_export
A10BJ02,Liraglutide,A10BJ,True,observed_in_2024_group_export
A10BJ05,Dulaglutide,A10BJ,True,observed_in_2024_group_export
A10BJ06,Semaglutide,A10BJ,True,observed_in_2024_group_export
